형태소,품사,분류,카운트
!,Punctuation,1,9
!,Punctuation,2,2
!,Punctuation,3,1
!,Punctuation,4,1
!,Punctuation,5,2
!,Punctuation,6,7
!,Punctuation,7,15
!,Punctuation,8,32
!,Punctuation,9,43
!,Punctuation,10,222
!!,Punctuation,1,5
!!,Punctuation,6,1
!!,Punctuation,7,3
!!,Punctuation,8,15
!!,Punctuation,9,32
!!,Punctuation,10,118
!!!,Punctuation,1,7
!!!,Punctuation,2,1
!!!,Punctuation,6,2
!!!,Punctuation,8,5
!!!,Punctuation,9,13
!!!,Punctuation,10,69
!!!!,Punctuation,1,1
!!!!,Punctuation,6,1
!!!!,Punctuation,8,6
!!!!,Punctuation,9,2
!!!!,Punctuation,10,31
!!!!),Punctuation,10,1
!!!!*++(^,Punctuation,10,1
!!!!@##!@#!@#~!@,Punctuation,10,1
!!!!@@,Punctuation,10,1
!!!!~~~,Punctuation,10,1
!!!~~,Punctuation,10,1
!!!~~^^,Punctuation,10,1
!!><,Punctuation,10,1
!!@@,Punctuation,9,1
!!^^^^,Punctuation,10,1
!!~~^^,Punctuation,10,1
!',Punctuation,6,1
!',Punctuation,9,1
!),Punctuation,1,1
!),Punctuation,7,1
!..,Punctuation,10,1
!?,Punctuation,9,1
"!~""",Punctuation,8,1
"""",Punctuation,1,2
"""",Punctuation,3,2
"""",Punctuation,6,9
"""",Punctuation,7,1
"""",Punctuation,9,1
"""",Punctuation,10,6
&,Punctuation,10,1
',Punctuation,1,4
',Punctuation,6,5
',Punctuation,7,3
',Punctuation,8,1
',Punctuation,9,3
',Punctuation,10,14
'-_-?,Punctuation,6,1
'.,Punctuation,7,1
(,Punctuation,1,3
(,Punctuation,3,2
(,Punctuation,4,2
(,Punctuation,6,4
(,Punctuation,7,4
(,Punctuation,8,2
(,Punctuation,9,10
(,Punctuation,10,12
(+....,Punctuation,10,1
(-_-),Punctuation,8,1
(?),Punctuation,9,2
(?),Punctuation,10,1
(??),Punctuation,10,1
),Punctuation,1,2
),Punctuation,3,2
),Punctuation,4,1
),Punctuation,6,2
),Punctuation,7,3
),Punctuation,8,3
),Punctuation,9,11
),Punctuation,10,10
"),",Punctuation,10,3
"),,",Punctuation,1,1
)..,Punctuation,4,1
*,Punctuation,1,1
*^^*,Punctuation,10,1
+,Punctuation,1,2
+,Punctuation,2,1
+,Punctuation,7,2
",",Punctuation,1,38
",",Punctuation,2,1
",",Punctuation,3,3
",",Punctuation,4,5
",",Punctuation,5,14
",",Punctuation,6,17
",",Punctuation,7,31
",",Punctuation,8,47
",",Punctuation,9,43
",",Punctuation,10,111
",,",Punctuation,1,2
",,",Punctuation,8,2
",,",Punctuation,9,2
",,",Punctuation,10,2
",,!!",Punctuation,10,1
",,,",Punctuation,1,2
",,,",Punctuation,3,2
",,,",Punctuation,6,2
",,,",Punctuation,9,1
",,,,",Punctuation,1,1
",,..",Punctuation,10,1
",.,,,",Punctuation,8,1
",..",Punctuation,7,1
",..",Punctuation,10,1
",...",Punctuation,5,1
",...",Punctuation,10,3
",....,",Punctuation,10,1
-,Punctuation,1,1
-,Punctuation,7,2
-,Punctuation,8,2
-,Punctuation,9,2
-,Punctuation,10,2
-!!,Punctuation,10,1
-!!!,Punctuation,9,1
"-.,-",Punctuation,6,1
-.-,Punctuation,8,1
-...,Punctuation,10,1
->,Punctuation,10,1
-_-,Punctuation,6,1
-~=~_<>,Punctuation,9,1
.,Punctuation,1,264
.,Punctuation,2,24
.,Punctuation,3,26
.,Punctuation,4,35
.,Punctuation,5,98
.,Punctuation,6,148
.,Punctuation,7,239
.,Punctuation,8,247
.,Punctuation,9,221
.,Punctuation,10,563
.!,Punctuation,10,1
.!!,Punctuation,8,1
.!!,Punctuation,9,2
".""",Punctuation,10,1
.#마블,Hashtag,10,1
.(,Punctuation,1,1
".,,",Punctuation,8,1
..,Punctuation,1,148
..,Punctuation,2,11
..,Punctuation,3,5
..,Punctuation,4,6
..,Punctuation,5,40
..,Punctuation,6,41
..,Punctuation,7,65
..,Punctuation,8,88
..,Punctuation,9,44
..,Punctuation,10,190
..!,Punctuation,8,1
..!,Punctuation,10,1
..!!,Punctuation,10,1
"..""",Punctuation,10,1
..',Punctuation,8,1
..(,Punctuation,9,1
...,Punctuation,1,126
...,Punctuation,2,7
...,Punctuation,3,10
...,Punctuation,4,16
...,Punctuation,5,38
...,Punctuation,6,67
...,Punctuation,7,68
...,Punctuation,8,73
...,Punctuation,9,60
...,Punctuation,10,189
...!,Punctuation,10,2
...!!,Punctuation,8,1
...!!,Punctuation,10,2
...!!!,Punctuation,10,3
...(,Punctuation,8,1
...(,Punctuation,10,1
...),Punctuation,6,1
....,Punctuation,1,40
....,Punctuation,2,2
....,Punctuation,3,2
....,Punctuation,4,1
....,Punctuation,5,15
....,Punctuation,6,13
....,Punctuation,7,22
....,Punctuation,8,13
....,Punctuation,9,13
....,Punctuation,10,57
....!!,Punctuation,5,1
....!!!!,Punctuation,10,1
....!!!!...,Punctuation,8,1
"....""",Punctuation,7,1
"....,",Punctuation,8,1
.....,Punctuation,1,1
.....,Punctuation,10,1
......,Punctuation,5,1
......,Punctuation,10,1
.......,Punctuation,5,1
