형태소,품사,분류,카운트
!,Punctuation,1,1
!,Punctuation,2,1
!,Punctuation,7,1
!,Punctuation,9,10
!,Punctuation,10,63
!!,Punctuation,2,1
!!,Punctuation,8,1
!!,Punctuation,9,2
!!,Punctuation,10,20
!!!,Punctuation,10,17
!!!!,Punctuation,9,1
!!!!,Punctuation,10,2
!!!!.,Punctuation,10,1
!...,Punctuation,10,1
',Punctuation,1,2
',Punctuation,7,2
(,Punctuation,2,1
(,Punctuation,3,1
(,Punctuation,8,2
(,Punctuation,9,1
(,Punctuation,10,5
(?),Punctuation,9,2
(?),Punctuation,10,1
),Punctuation,2,1
),Punctuation,3,1
),Punctuation,8,1
),Punctuation,9,1
),Punctuation,10,4
+,Punctuation,1,2
+,Punctuation,8,7
+,Punctuation,9,1
+,Punctuation,10,3
",",Punctuation,1,9
",",Punctuation,2,7
",",Punctuation,3,4
",",Punctuation,6,2
",",Punctuation,7,2
",",Punctuation,8,6
",",Punctuation,9,10
",",Punctuation,10,51
",,",Punctuation,10,1
-,Punctuation,8,1
-_-,Punctuation,10,1
.,Punctuation,1,39
.,Punctuation,2,8
.,Punctuation,3,1
.,Punctuation,4,3
.,Punctuation,6,5
.,Punctuation,7,14
.,Punctuation,8,17
.,Punctuation,9,21
.,Punctuation,10,139
.!!,Punctuation,10,1
".,,",Punctuation,7,1
.-,Punctuation,1,1
.-,Punctuation,10,1
..,Punctuation,1,10
..,Punctuation,2,2
..,Punctuation,3,7
..,Punctuation,4,1
..,Punctuation,6,4
..,Punctuation,7,9
..,Punctuation,8,4
..,Punctuation,9,10
..,Punctuation,10,47
...,Punctuation,1,8
...,Punctuation,2,7
...,Punctuation,3,4
...,Punctuation,4,2
...,Punctuation,6,3
...,Punctuation,7,3
...,Punctuation,8,5
...,Punctuation,9,10
...,Punctuation,10,58
...!,Punctuation,7,1
...!!!!,Punctuation,10,1
"...,,,,..",Punctuation,1,1
....,Punctuation,1,3
....,Punctuation,2,4
....,Punctuation,4,1
....,Punctuation,6,3
....,Punctuation,7,2
....,Punctuation,9,1
....,Punctuation,10,16
....!,Punctuation,10,1
...???,Punctuation,1,1
..;;;,Punctuation,10,1
///,Punctuation,6,1
1,Number,9,1
1,Number,10,4
10,Number,1,3
10,Number,9,1
10,Number,10,9
100,Number,10,1
10년,Number,3,1
12,Number,1,2
120,Number,10,1
143분,Number,10,1
1:1,Number,10,1
2,Number,4,1
2,Number,8,1
2,Number,10,13
20,Number,7,1
200,Number,1,1
200만,Number,10,1
2018,Number,10,2
2019년,Number,10,1
20분,Number,10,5
2시간,Number,10,9
3,Number,8,1
3,Number,9,3
3,Number,10,5
300%,Number,10,1
4,Number,10,6
4천원,Number,10,1
5,Number,9,1
5,Number,10,2
500만,Number,10,2
5~6,Number,1,1
5초,Number,4,1
7,Number,9,1
8,Number,8,1
9,Number,9,2
9,Number,10,1
9시,Number,10,2
:,Punctuation,6,1
:),Punctuation,10,1
;,Punctuation,1,4
;;,Punctuation,1,1
;;,Punctuation,7,1
;;,Punctuation,10,4
;;;,Punctuation,1,1
;;;,Punctuation,10,1
=,Punctuation,10,1
?,Punctuation,1,5
?,Punctuation,2,2
?,Punctuation,4,2
?,Punctuation,5,1
?,Punctuation,7,1
?,Punctuation,10,9
?!,Punctuation,8,1
?',Punctuation,1,1
??,Punctuation,10,4
???,Punctuation,1,1
???,Punctuation,3,1
????,Punctuation,3,1
B,Alpha,1,1
Better,Alpha,9,1
CG,Alpha,1,2
CG,Alpha,3,2
CG,Alpha,7,1
CG,Alpha,9,4
CG,Alpha,10,8
CGV,Alpha,10,1
Cg,Alpha,4,1
D,Alpha,8,2
D,Alpha,9,3
D,Alpha,10,9
DC,Alpha,1,5
DC,Alpha,2,2
DC,Alpha,3,1
