형태소,품사,분류,카운트
!,Punctuation,7,2
!,Punctuation,8,9
!,Punctuation,9,17
!,Punctuation,10,223
!!,Punctuation,1,1
!!,Punctuation,7,1
!!,Punctuation,8,3
!!,Punctuation,9,4
!!,Punctuation,10,127
!!!,Punctuation,7,1
!!!,Punctuation,9,1
!!!,Punctuation,10,68
!!!!,Punctuation,8,1
!!!!,Punctuation,9,1
!!!!,Punctuation,10,51
!!!...,Punctuation,10,3
!!^^,Punctuation,10,2
!!~^^,Punctuation,9,2
!!~~~~!!!!,Punctuation,10,1
!),Punctuation,10,1
!...,Punctuation,10,2
!?,Punctuation,10,1
!?!?,Punctuation,10,1
!??,Punctuation,10,1
!^^,Punctuation,10,1
!~,Punctuation,10,3
!~!~!!~~!~!~!~!,Punctuation,10,1
!’,Punctuation,10,1
"""",Punctuation,9,2
"""",Punctuation,10,22
""".",Punctuation,10,1
#,Punctuation,10,2
&,Punctuation,9,1
&,Punctuation,10,3
',Punctuation,8,2
',Punctuation,9,2
',Punctuation,10,69
"'""",Punctuation,10,1
'',Punctuation,10,2
"',",Punctuation,10,1
(,Punctuation,6,2
(,Punctuation,7,1
(,Punctuation,9,4
(,Punctuation,10,19
(+,Punctuation,10,1
(?),Punctuation,10,2
),Punctuation,6,1
),Punctuation,7,1
),Punctuation,9,4
),Punctuation,10,16
)(,Punctuation,10,2
"),",Punctuation,10,1
)...,Punctuation,6,1
*,Punctuation,10,1
*!^*,Punctuation,10,1
****,Punctuation,10,2
****),Punctuation,10,1
+,Punctuation,8,2
+,Punctuation,10,9
",",Punctuation,1,7
",",Punctuation,2,2
",",Punctuation,4,3
",",Punctuation,5,1
",",Punctuation,6,4
",",Punctuation,7,5
",",Punctuation,8,21
",",Punctuation,9,21
",",Punctuation,10,288
",,",Punctuation,6,1
",,",Punctuation,8,3
",,",Punctuation,9,1
",,",Punctuation,10,23
",,!!",Punctuation,10,1
",,,",Punctuation,9,1
",,,",Punctuation,10,10
",,,,",Punctuation,8,1
",,,,",Punctuation,10,5
",.,",Punctuation,10,1
",..",Punctuation,10,1
",^*'?**^",Punctuation,10,1
-,Punctuation,1,1
-,Punctuation,9,4
-,Punctuation,10,8
"-,.-",Punctuation,10,1
---,Punctuation,10,1
-~-~-~-~,Punctuation,10,1
.,Punctuation,1,46
.,Punctuation,2,5
.,Punctuation,4,3
.,Punctuation,5,5
.,Punctuation,6,29
.,Punctuation,7,37
.,Punctuation,8,127
.,Punctuation,9,110
.,Punctuation,10,1233
.!,Punctuation,10,2
.!!,Punctuation,10,1
.!!!,Punctuation,10,1
.',Punctuation,10,1
".,",Punctuation,10,1
".,.,.,.,.,",Punctuation,10,1
".,..",Punctuation,10,1
..,Punctuation,1,10
..,Punctuation,2,4
..,Punctuation,5,1
..,Punctuation,6,10
..,Punctuation,7,15
..,Punctuation,8,30
..,Punctuation,9,16
..,Punctuation,10,509
..!,Punctuation,10,4
..!!,Punctuation,10,1
..!!!,Punctuation,8,1
..!!!,Punctuation,10,3
..!!!!,Punctuation,10,1
"..""",Punctuation,10,1
"..,,",Punctuation,7,1
...,Punctuation,1,18
...,Punctuation,2,4
...,Punctuation,3,1
...,Punctuation,4,2
...,Punctuation,5,2
...,Punctuation,6,15
...,Punctuation,7,12
...,Punctuation,8,29
...,Punctuation,9,38
...,Punctuation,10,540
...!,Punctuation,10,2
...!!,Punctuation,10,2
"...,,,",Punctuation,10,1
....,Punctuation,1,1
....,Punctuation,2,2
....,Punctuation,6,2
....,Punctuation,7,3
....,Punctuation,8,4
....,Punctuation,9,10
....,Punctuation,10,128
....!!!!,Punctuation,10,1
.....,Punctuation,10,1
......,Punctuation,10,2
.......,Punctuation,9,1
....?,Punctuation,10,1
....^^,Punctuation,10,1
...?,Punctuation,10,3
..;,Punctuation,10,2
..;;,Punctuation,1,1
..?,Punctuation,8,3
..?,Punctuation,10,7
..^&^,Punctuation,10,1
..^^,Punctuation,10,1
.^-^,Punctuation,10,1
.^^,Punctuation,1,1
.^^,Punctuation,10,1
.~~,Punctuation,10,2
.~~~~,Punctuation,10,1
/,Punctuation,6,1
/,Punctuation,10,9
0,Number,1,4
0,Number,10,1
00년,Number,1,1
1,Number,1,4
1,Number,6,3
1,Number,8,3
1,Number,9,7
1,Number,10,82
1.2,Number,9,1
1.2등,Number,9,1
1/1400만,Number,10,2
10,Number,7,1
10,Number,8,1
10,Number,9,5
10,Number,10,91
100,Number,9,1
100,Number,10,5
1000,Number,10,1
10000만,Number,10,2
1000만,Number,10,2
100만,Number,10,1
1010,Number,10,1
1082000,Number,10,1
10년,Number,7,1
10년,Number,8,6
10년,Number,9,4
10년,Number,10,119
10만원,Number,10,1
10분,Number,2,1
10분,Number,9,1
10분,Number,10,1
10시,Number,10,1
10억,Number,10,1
10초,Number,10,1
11,Number,8,1
11,Number,10,2
111,Number,10,1
11년,Number,4,1
11년,Number,7,1
11년,Number,8,1
11년,Number,9,3
11년,Number,10,73
11분,Number,10,1
12,Number,10,4
1200만,Number,10,1
123,Number,10,4
123456789,Number,10,1
12년,Number,10,1
131415,Number,10,1
"14,000,605",Number,10,2
140,Number,9,1
1400만,Number,8,1
1400만,Number,10,3
1400만분,Number,10,2
15,Number,10,1
1500만,Number,10,1
15분,Number,10,1
16분,Number,10,1
16시,Number,10,1
1735272737,Number,10,1
17년,Number,10,1
1800만,Number,10,1
180분,Number,8,1
19,Number,10,1
1976,Number,9,1
1~3,Number,10,1
1년,Number,10,3
1만,Number,10,1
1분,Number,5,1
1시간,Number,1,1
1시간,Number,2,1
1시간,Number,10,8
1초,Number,10,3
2,Number,4,1
2,Number,8,2
2,Number,9,3
2,Number,10,50
2%,Number,8,1
2%,Number,10,1
20,Number,10,51
20-30,Number,10,1
2000만,Number,10,3
2008,Number,10,2
2008년,Number,10,9
2012,Number,10,1
2012년,Number,10,1
2019,Number,10,2
2019년,Number,10,8
2020,Number,9,1
2020년,Number,10,2
2021년,Number,10,1
20~30,Number,10,1
20년,Number,10,1
20분,Number,2,1
20분,Number,10,1
21,Number,9,1
21,Number,10,9
22,Number,10,3
22년,Number,10,1
23,Number,10,1
25일,Number,10,1
26일,Number,10,1
28,Number,10,1
