형태소,품사,분류,카운트
,Foreign,10,1
!,Punctuation,8,6
!,Punctuation,9,11
!,Punctuation,10,117
!!,Punctuation,9,6
!!,Punctuation,10,49
!!!,Punctuation,9,1
!!!,Punctuation,10,20
!!!!,Punctuation,10,10
!!!!!,Punctuation,8,1
!!!!!,Punctuation,10,2
!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!,Punctuation,10,1
!!!~,Punctuation,10,1
!#~^,Punctuation,10,1
!.,Punctuation,10,1
!...,Punctuation,10,1
!...!!!.,Punctuation,10,1
!~~~~~~~~~,Punctuation,10,1
"""",Punctuation,9,4
"""",Punctuation,10,18
""".",Punctuation,10,1
',Punctuation,6,2
',Punctuation,7,4
',Punctuation,9,12
',Punctuation,10,28
'!!!,Punctuation,10,1
"',",Punctuation,9,1
'...,Punctuation,10,1
'....,Punctuation,10,1
(,Punctuation,9,2
(,Punctuation,10,15
(?),Punctuation,10,2
),Punctuation,9,2
),Punctuation,10,13
"),",Punctuation,10,1
****,Punctuation,10,1
****),Punctuation,10,1
+,Punctuation,1,1
+,Punctuation,10,6
",",Punctuation,1,1
",",Punctuation,6,2
",",Punctuation,7,10
",",Punctuation,8,27
",",Punctuation,9,47
",",Punctuation,10,223
",,",Punctuation,8,3
",,",Punctuation,10,5
",,,",Punctuation,9,1
",,,,,",Punctuation,10,1
",...",Punctuation,10,1
-,Punctuation,9,6
-,Punctuation,10,19
-!~#,Punctuation,10,1
--),Punctuation,10,1
------,Punctuation,10,1
--;;,Punctuation,10,1
.,Punctuation,1,1
.,Punctuation,5,5
.,Punctuation,6,9
.,Punctuation,7,22
.,Punctuation,8,62
.,Punctuation,9,164
.,Punctuation,10,842
.!,Punctuation,9,1
.!,Punctuation,10,1
.!!!!,Punctuation,10,1
".""",Punctuation,10,2
.',Punctuation,9,1
.',Punctuation,10,1
.),Punctuation,10,1
".,",Punctuation,10,2
".,.,.,.",Punctuation,10,1
..,Punctuation,1,4
..,Punctuation,4,1
..,Punctuation,5,1
..,Punctuation,6,1
..,Punctuation,7,12
..,Punctuation,8,10
..,Punctuation,9,35
..,Punctuation,10,267
..!!,Punctuation,10,3
..+,Punctuation,10,1
...,Punctuation,6,1
...,Punctuation,7,9
...,Punctuation,8,19
...,Punctuation,9,45
...,Punctuation,10,328
...!!!,Punctuation,10,2
....,Punctuation,7,2
....,Punctuation,8,2
....,Punctuation,9,13
....,Punctuation,10,69
....!,Punctuation,10,1
.....,Punctuation,10,12
......,Punctuation,10,3
.......,Punctuation,9,1
........,Punctuation,10,1
.........,Punctuation,10,2
..........,Punctuation,10,1
............,Punctuation,10,1
.............,Punctuation,10,1
..............,Punctuation,10,1
....?,Punctuation,9,1
...?,Punctuation,9,1
...?,Punctuation,10,2
..;,Punctuation,7,1
..?,Punctuation,10,3
.^^,Punctuation,10,1
.~~,Punctuation,9,1
//,Punctuation,10,1
0,Number,10,1
1,Number,1,3
1,Number,6,1
1,Number,7,1
1,Number,8,2
1,Number,9,11
1,Number,10,20
1%,Number,10,1
1.2,Number,10,1
10,Number,1,1
10,Number,5,1
10,Number,7,2
10,Number,8,1
10,Number,9,6
10,Number,10,98
100,Number,9,1
100,Number,10,5
100%,Number,7,1
100%,Number,10,2
100년,Number,10,2
10년,Number,10,5
10만원,Number,10,1
10분,Number,10,2
11,Number,1,1
11,Number,10,3
12,Number,10,2
12.07,Number,9,1
12년,Number,10,2
164분,Number,10,3
1~2,Number,9,1
1~3,Number,10,1
1년,Number,10,4
1등,Number,10,4
1분,Number,10,1
1시간,Number,2,1
2,Number,1,1
2,Number,6,1
2,Number,7,1
2,Number,8,2
2,Number,9,7
2,Number,10,29
20,Number,10,3
2000년,Number,8,1
2010년,Number,8,1
2012년,Number,9,1
2012년,Number,10,3
2013.06,Number,10,1
2015년,Number,10,1
2017년,Number,10,1
2019년,Number,10,1
2022년,Number,10,1
2032년,Number,10,1
21,Number,10,4
213123214,Number,10,1
21:20,Number,10,1
22,Number,9,1
22,Number,10,1
2분,Number,10,1
2시간,Number,9,1
2시간,Number,10,7
3,Number,1,1
3,Number,6,1
3,Number,7,2
3,Number,8,7
3,Number,9,16
3,Number,10,72
30,Number,10,1
30분,Number,7,1
34,Number,10,1
3년,Number,9,1
3시간,Number,10,1
3초,Number,10,1
4,Number,9,1
4,Number,10,4
40분,Number,9,1
40분,Number,10,3
44분,Number,10,1
5,Number,10,9
50년,Number,10,1
5년,Number,10,2
5만원,Number,9,1
5분,Number,10,4
5초,Number,10,1
6,Number,10,11
6000만,Number,10,1
600만,Number,10,1
6년,Number,10,2
7,Number,7,1
7,Number,10,5
7년,Number,9,1
7년,Number,10,1
7월,Number,10,1
8,Number,7,1
8,Number,8,2
8,Number,10,4
8.5,Number,8,2
8.99,Number,10,1
8년,Number,10,2
9,Number,9,5
9,Number,10,11
9.0,Number,10,1
9.5,Number,10,1
95,Number,9,1
:,Punctuation,10,6
;,Punctuation,10,5
;;,Punctuation,9,1
;;,Punctuation,10,5
;;;,Punctuation,8,1
;;;,Punctuation,10,4
=,Punctuation,9,1
=,Punctuation,10,1
=),Punctuation,10,1
